record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,lichtexpositionstagebuch_digital_timestamp,mhlea_picture,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,lichtexpositionstagebuch_digital_complete
16,,,BAUA_S013,,,,,,,,,,,,
16,lichtexpositionstagebuch_digital,1,,,,1,5,42F41E40-6153-11F0-ACB3-95D7C3CF74EF,"2025-07-15 10:11:08","2025-07-15 10:11:39",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-07-15 10:11:39"",    ""utcTime"": ""2025-07-15 08:11:08.196184Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-A165F"",    ""percentComplete"": ""67""  }",result.zip,0
16,lichtexpositionstagebuch_digital,2,,,,1,4,F42EB260-6306-11F0-ABB8-3314A7F81F48,"2025-07-17 14:09:56","2025-07-17 14:10:40",,1,"{    ""devicemanufacturer"": ""samsung"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-07-17 14:10:40"",    ""utcTime"": ""2025-07-17 12:09:56.614253Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.3.5"",    ""buildnumber"": ""180"",    ""configversion"": ""4"",    ""devicemodel"": ""SM-A165F"",    ""percentComplete"": ""67""  }",result.zip,0
