record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,trageprotokoll_timestamp,wearlog_type,wearlog_event,wearlog_off,reason,wearlog_on,wearlog_bed,radius,wearlog_bag,wearlog_place,wearlog_motion,wearlog_past,wearlog_bp,wearlog_past_off,wearlog_past_on,wearlog_past_sleep,radius_past_time,radius_past,radius_past_back,wearlog_past_bag,wearlog_past_location,wearlog_past_motion,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,trageprotokoll_complete
19,trageprotokoll,11,,,0,2,,,,"2025-09-11 00:30",,,,,,,,,,,,,,,,7F41F21E-8908-441E-A4F1-4ADC24AF44A4,"2025-09-11 00:31:00","2025-09-11 00:31:13",,1,"{    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 00:31:13"",    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""2"",    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2""  }",result.zip,0
19,trageprotokoll,12,,,0,1,,,"2025-09-11 08:08",,,,,,,,,,,,,,,,,C9BDF965-95AD-4673-837F-565DE205BFB0,"2025-09-11 08:08:59","2025-09-11 08:09:05",,1,"{    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 08:09:06"",    ""devicemodel"" : ""iPhone"",    ""percentComplete"" : ""100"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""configversion"" : ""2""  }",result.zip,0
19,trageprotokoll,13,,,0,0,"2025-09-11 12:03",1,,,,1,,0,,,,,,,,,,,,0CA693F4-9061-4D15-94A1-56764933AAED,"2025-09-11 12:03:28","2025-09-11 12:03:48",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple"",    ""deviceplatform"" : ""iOS"",    ""appversion"" : ""2.21.0"",    ""percentComplete"" : ""100"",    ""configversion"" : ""2"",    ""deviceversion"" : ""18.6.2"",    ""syncdate"" : ""2025-09-11 12:03:48""  }",result.zip,0
19,trageprotokoll,14,,,0,1,,,"2025-09-11 12:03",,,,,,,,,,,,,,,,,65266254-BA88-45E2-92E1-F8CEC255D82C,"2025-09-11 12:48:21","2025-09-11 12:48:25",,1,"{    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 12:48:25"",    ""devicemodel"" : ""iPhone"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""2""  }",result.zip,0
19,trageprotokoll,15,,,0,1,,,"2025-09-11 12:48",,,,,,,,,,,,,,,,,FC539242-0B45-4276-9B5D-BC12B53B3639,"2025-09-11 12:48:28","2025-09-11 12:48:38",,1,"{    ""configversion"" : ""2"",    ""syncdate"" : ""2025-09-11 12:48:38"",    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""18.6.2"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone""  }",result.zip,0
19,trageprotokoll,16,,,0,0,"2025-09-11 18:06",1,,,,1,,1,,,,,,,,,,,,AE4FC847-53F7-4613-B936-EF3A9AB099E7,"2025-09-11 18:06:27","2025-09-11 18:06:46",,1,"{    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 18:06:46"",    ""devicemanufacturer"" : ""Apple"",    ""deviceversion"" : ""18.6.2"",    ""configversion"" : ""2""  }",result.zip,0
19,trageprotokoll,17,,,0,1,,,"2025-09-11 18:40",,,,,,,,,,,,,,,,,DAADE14D-4DF3-4F9E-9E6C-2F62DF162E40,"2025-09-11 18:41:09","2025-09-11 18:41:17",,1,"{    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""deviceversion"" : ""18.6.2"",    ""devicemanufacturer"" : ""Apple"",    ""appversion"" : ""2.21.0"",    ""syncdate"" : ""2025-09-11 18:41:17"",    ""configversion"" : ""2""  }",result.zip,0
19,trageprotokoll,18,,,0,2,,,,"2025-09-11 23:12",,,,,,,,,,,,,,,,7F906071-2711-419F-AAA9-4920986B6783,"2025-09-11 23:12:09","2025-09-11 23:12:18",,1,"{    ""deviceplatform"" : ""iOS"",    ""percentComplete"" : ""100"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""devicemodel"" : ""iPhone"",    ""syncdate"" : ""2025-09-11 23:12:18"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""2"",    ""deviceversion"" : ""18.6.2""  }",result.zip,0
19,trageprotokoll,19,,,0,1,,,"2025-09-12 08:50",,,,,,,,,,,,,,,,,3E513BF8-9F1C-41C4-B97F-FBC50B800980,"2025-09-12 08:50:22","2025-09-12 08:50:31",,1,"{    ""deviceplatform"" : ""iOS"",    ""devicemanufacturer"" : ""Apple"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-12 08:50:31"",    ""devicemodel"" : ""iPhone"",    ""configversion"" : ""2"",    ""deviceversion"" : ""18.6.2"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""appversion"" : ""2.21.0""  }",result.zip,0
19,trageprotokoll,20,,,0,0,"2025-09-12 18:58",1,,,,0,Nachttisch,0,,,,,,,,,,,,D4522FD8-FF88-4ED9-91E5-DC7BA6D5F7A0,"2025-09-12 18:58:06","2025-09-12 18:58:37",,1,"{    ""deviceplatform"" : ""iOS"",    ""devicemodel"" : ""iPhone"",    ""appversion"" : ""2.21.0"",    ""deviceuuid"" : ""BF91B575-0C83-4E9E-96A5-B3698F75FC19"",    ""percentComplete"" : ""100"",    ""syncdate"" : ""2025-09-12 18:58:37"",    ""devicemanufacturer"" : ""Apple"",    ""configversion"" : ""2"",    ""deviceversion"" : ""18.6.2""  }",result_trageprotokoll_19_20.zip,0
